ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10898325,JA209950,04/01/2017 03:00:00 AM,001XX W DIVISION ST,0820,THEFT,$500 AND UNDER,TAXICAB,false,false,1824,018,43,8,06,1174785,1908337,2017,04/08/2017 03:49:53 PM,41.903868832,-87.633408812,"(41.903868832, -87.633408812)"
10897910,JA208154,04/01/2017 03:00:00 AM,013XX N HOYNE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1424,014,1,24,03,1162158,1908912,2017,04/08/2017 03:49:53 PM,41.90572002,-87.679774603,"(41.90572002, -87.679774603)"
10897578,JA208967,04/01/2017 03:00:00 AM,074XX S SOUTH SHORE DR,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,false,true,0334,003,7,43,04B,1195788,1856597,2017,04/08/2017 03:49:53 PM,41.761396234,-87.557976827,"(41.761396234, -87.557976827)"
10897197,JA208403,04/01/2017 03:00:00 AM,043XX S INDIANA AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,0215,002,3,38,06,1178326,1876217,2017,04/08/2017 03:49:53 PM,41.815649511,-87.621380376,"(41.815649511, -87.621380376)"
10897195,JA208369,04/01/2017 03:00:00 AM,054XX W GLADYS AVE,0810,THEFT,OVER $500,STREET,false,false,1522,015,29,25,06,1140251,1897810,2017,04/08/2017 03:49:53 PM,41.875684581,-87.760519745,"(41.875684581, -87.760519745)"
10897156,JA208319,04/01/2017 03:00:00 AM,070XX S CHAPPEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0331,003,5,43,08B,1191097,1858648,2017,04/08/2017 03:49:53 PM,41.767139085,-87.575103159,"(41.767139085, -87.575103159)"
10897152,JA208273,04/01/2017 03:00:00 AM,011XX S STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,0123,001,2,32,03,1176517,1895340,2017,04/08/2017 03:49:53 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
10897098,JA208152,04/01/2017 03:05:00 AM,020XX W SHAKESPEARE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1432,014,32,22,03,1162326,1914400,2017,04/08/2017 03:49:53 PM,41.920775966,-87.679003684,"(41.920775966, -87.679003684)"
10897066,JA208153,04/01/2017 03:08:00 AM,019XX E 73RD ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0333,003,5,43,04A,1190054,1856943,2017,04/08/2017 03:49:53 PM,41.76248559,-87.578980927,"(41.76248559, -87.578980927)"
10897560,JA208720,04/01/2017 03:09:00 AM,005XX S HOMAN AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1134,011,24,27,03,1153802,1897180,2017,04/08/2017 03:49:53 PM,41.873696851,-87.71078189,"(41.873696851, -87.71078189)"
